62, 21, 70, 82, 47, 82	 #34
49, 64, 76, 49, 36, 16	 #54
67, 20, 19, 51, 53, 67	 #56
17, 59, 68, 74, 74, 33	 #111
93, 93, 82, 51, 37, 14	 #123
43, 53, 60, 60, 15, 77	 #139
31, 83, 96, 77, 77, 15	 #142
26, 76, 13, 76, 65, 16	 #152
76, 76, 24, 83, 39, 62	 #166
88, 90, 95, 88, 84, 42	 #170
29, 67, 95, 49, 98, 98	 #173
27, 65, 93, 93, 23, 20	 #197
69, 30, 12, 78, 48, 78	 #202
91, 60, 39, 98, 12, 60	 #215
22, 74, 66, 74, 94, 14	 #226
76, 90, 76, 85, 14, 59	 #227
54, 60, 22, 34, 54, 10	 #246
35, 68, 83, 75, 63, 68	 #248
37, 85, 85, 47, 10, 22	 #251
30, 22, 63, 63, 13, 80	 #259
59, 98, 65, 10, 98, 80	 #261
85, 56, 34, 98, 98, 59	 #278
25, 16, 51, 45, 45, 30	 #295
87, 94, 20, 94, 39, 90	 #322
69, 41, 38, 41, 31, 26	 #343
13, 37, 94, 94, 43, 55	 #356
16, 74, 74, 37, 28, 38	 #357
90, 86, 86, 35, 47, 19	 #395
52, 15, 52, 32, 49, 41	 #396
69, 99, 51, 37, 78, 99	 #442
69, 90, 25, 50, 90, 33	 #451
71, 54, 63, 63, 51, 10	 #463
48, 94, 50, 94, 79, 80	 #464
60, 88, 16, 40, 90, 90	 #476
29, 70, 68, 14, 68, 65	 #495
23, 59, 34, 57, 59, 70	 #499
52, 61, 93, 38, 16, 61	 #508
52, 52, 39, 29, 30, 31	 #509
59, 68, 79, 98, 98, 51	 #511
78, 45, 10, 45, 22, 63	 #540
37, 29, 25, 66, 45, 45	 #542
64, 92, 37, 92, 97, 63	 #552
34, 79, 100, 18, 17, 100	 #558
92, 25, 88, 88, 99, 62	 #563
38, 76, 13, 97, 97, 94	 #565
92, 94, 44, 99, 92, 18	 #587
19, 67, 25, 73, 91, 67	 #601
100, 40, 20, 99, 33, 99	 #647
74, 29, 32, 74, 40, 12	 #700
